0,15,2,
5
00000000000000000111,1667
00000000000000000000,684
00000000000000000011,1231
00000000000000000001,1285
00000000000000000100,669
00000000000000000110,751
10,3,9,
7
PreSwap,Craig
23
00000000000000000101,404
00000000000000000010,1135
00000000000000000111,4208
00000000000000000000,299
00000000000000000011,995
00000000000000000001,354
00000000000000000100,213
00000000000000000110,584
PreSwap,Norm
30
00000000000000000101,501
00000000000000000010,1176
00000000000000000111,3320
00000000000000000000,366
00000000000000000011,1045
00000000000000000001,585
00000000000000000100,228
00000000000000000110,971
Qiskit,Craig
32
00000000000000000101,1433
00000000000000000010,624
00000000000000000111,2443
00000000000000000000,516
00000000000000000011,761
00000000000000000001,756
00000000000000000100,742
00000000000000000110,917
Qiskit,Norm
36
00000000000000000101,739
00000000000000000010,1158
00000000000000000111,2174
00000000000000000000,649
00000000000000000011,1301
00000000000000000001,1073
00000000000000000100,317
00000000000000000110,781
19,1,0,
7
PreSwap,Craig
23
00000000000000000101,430
00000000000000000010,1159
00000000000000000111,4368
00000000000000000000,392
00000000000000000011,401
00000000000000000001,420
00000000000000000100,400
00000000000000000110,622
PreSwap,Norm
27
00000000000000000101,324
00000000000000000010,1266
00000000000000000111,4344
00000000000000000000,185
00000000000000000011,897
00000000000000000001,340
00000000000000000100,108
00000000000000000110,728
Qiskit,Craig
35
00000000000000000101,1128
00000000000000000010,398
00000000000000000111,2419
00000000000000000000,497
00000000000000000011,974
00000000000000000001,1668
00000000000000000100,649
00000000000000000110,459
Qiskit,Norm
45
00000000000000000101,535
00000000000000000010,1224
00000000000000000111,2597
00000000000000000000,561
00000000000000000011,963
00000000000000000001,750
00000000000000000100,373
00000000000000000110,1189
15,9,2,
8
PreSwap,Craig
26
00000000000000000101,945
00000000000000000010,406
00000000000000000111,3694
00000000000000000000,367
00000000000000000011,474
00000000000000000001,803
00000000000000000100,849
00000000000000000110,654
PreSwap,Norm
25
00000000000000000101,465
00000000000000000010,979
00000000000000000111,4300
00000000000000000000,229
00000000000000000011,799
00000000000000000001,674
00000000000000000100,129
00000000000000000110,617
Qiskit,Craig
44
00000000000000000101,1239
00000000000000000010,302
00000000000000000111,3468
00000000000000000000,344
00000000000000000011,718
00000000000000000001,1034
00000000000000000100,655
00000000000000000110,432
Qiskit,Norm
40
00000000000000000101,840
00000000000000000010,764
00000000000000000111,2878
00000000000000000000,335
00000000000000000011,1638
00000000000000000001,991
00000000000000000100,250
00000000000000000110,496
17,16,18,
2
PreSwap,Craig
8
00000000000000000101,451
00000000000000000010,504
00000000000000000111,3831
00000000000000000000,219
00000000000000000011,569
00000000000000000001,226
00000000000000000100,322
00000000000000000110,2070
PreSwap,Norm
18
00000000000000000101,575
00000000000000000010,613
00000000000000000111,3585
00000000000000000000,251
00000000000000000011,1782
00000000000000000001,605
00000000000000000100,227
00000000000000000110,554
Qiskit,Craig
8
00000000000000000101,400
00000000000000000010,455
00000000000000000111,3876
00000000000000000000,189
00000000000000000011,529
00000000000000000001,238
00000000000000000100,318
00000000000000000110,2187
Qiskit,Norm
18
00000000000000000101,571
00000000000000000010,812
00000000000000000111,3078
00000000000000000000,385
00000000000000000011,1288
00000000000000000001,606
00000000000000000100,298
00000000000000000110,1154
11,2,5,
5
PreSwap,Craig
17
00000000000000000101,396
00000000000000000010,371
00000000000000000111,4190
00000000000000000000,395
00000000000000000011,322
00000000000000000001,790
00000000000000000100,462
00000000000000000110,1266
PreSwap,Norm
18
00000000000000000101,368
00000000000000000010,585
00000000000000000111,3513
00000000000000000000,287
00000000000000000011,730
00000000000000000001,568
00000000000000000100,490
00000000000000000110,1651
Qiskit,Craig
26
00000000000000000101,674
00000000000000000010,401
00000000000000000111,3987
00000000000000000000,482
00000000000000000011,667
00000000000000000001,855
00000000000000000100,683
00000000000000000110,443
Qiskit,Norm
27
00000000000000000101,587
00000000000000000010,1031
00000000000000000111,3960
00000000000000000000,309
00000000000000000011,862
00000000000000000001,819
00000000000000000100,132
00000000000000000110,492
19,15,13,
6
PreSwap,Craig
20
00000000000000000101,336
00000000000000000010,1203
00000000000000000111,2757
00000000000000000000,192
00000000000000000011,1346
00000000000000000001,229
00000000000000000100,293
00000000000000000110,1836
PreSwap,Norm
24
00000000000000000101,782
00000000000000000010,399
00000000000000000111,3560
00000000000000000000,168
00000000000000000011,1641
00000000000000000001,956
00000000000000000100,149
00000000000000000110,537
Qiskit,Craig
44
00000000000000000101,752
00000000000000000010,901
00000000000000000111,2642
00000000000000000000,856
00000000000000000011,1373
00000000000000000001,645
00000000000000000100,469
00000000000000000110,554
Qiskit,Norm
37
00000000000000000101,699
00000000000000000010,663
00000000000000000111,3067
00000000000000000000,299
00000000000000000011,1415
00000000000000000001,1083
00000000000000000100,285
00000000000000000110,681
2,5,13,
7
PreSwap,Craig
23
00000000000000000101,338
00000000000000000010,887
00000000000000000111,5251
00000000000000000000,138
00000000000000000011,906
00000000000000000001,226
00000000000000000100,111
00000000000000000110,335
PreSwap,Norm
30
00000000000000000101,364
00000000000000000010,954
00000000000000000111,4629
00000000000000000000,156
00000000000000000011,951
00000000000000000001,396
00000000000000000100,112
00000000000000000110,630
Qiskit,Craig
35
00000000000000000101,845
00000000000000000010,530
00000000000000000111,3320
00000000000000000000,225
00000000000000000011,560
00000000000000000001,238
00000000000000000100,793
00000000000000000110,1681
Qiskit,Norm
34
00000000000000000101,581
00000000000000000010,722
00000000000000000111,3100
00000000000000000000,290
00000000000000000011,1774
00000000000000000001,1112
00000000000000000100,138
00000000000000000110,475
